,household_size,empl_agriculture,empl_professional,empl_social,empl_services,empl_manufacturing,empl_retail,empl_transp_utilities,prc_fam_poverty,avg_income,prc_public_transp,population,pop_65_plus,aa_and_mixed,aa,latino,immigrant,county,state,FIPS,area,prc_obese,nh_weighted_health_score,nh_num_beds,nh_prc_occupied,nh_nurse_hours,nh_total_fines,nh_overall_rating,incarcerated,domestic_passengers,intl_passengers,deaths_march24,deaths_april1,deaths_april11,deaths_april23,deaths_april25,deaths,cases_march24,cases_april1,cases_april11,cases_april23,cases_april25,cases_may11,ten_plus,order,density,death_prc,cases_prc,prc_incarcerated,uninsured
0,2.56,1.0792303970823565,11.181199062186,19.409400468907002,8.32309925198169,22.213538759257197,10.24710654609058,5.65479513229876,9.9,27742,0.4,119089,17.183786915668115,14.94176624205426,14.36488676536036,8.453341618453425,4.053271082971558,Morgan County,AL,1103.0,579.34,32.1,22.78254416403786,634.0,93.6435331230284,3.775967397476341,11365.91640378549,3.0520504731861204,604.0,580000,0,0,0,0,0,0,0,0,19,37,50,55,95,44,37,205.55977491628403,0.0,0.00031069200345959746,0.005071837029448563,1.185667861851229
1,3.15,14.810804650102575,7.410151204315783,21.601701998328394,8.941189879188512,7.127118000151963,9.305903806701616,4.424055922802219,15.6,22628,0.5,151366,10.182603755136556,8.175548009460512,6.889261789305393,54.96610863734261,16.684063792397236,Kings County,CA,6031.0,1389.42,29.4,65.99777064220183,327.0,77.88990825688073,4.167288593272172,0.0,3.379204892966361,465.0,0,0,0,0,0,1,1,1,0,4,9,35,47,319,29,53,108.94186063249413,6.606503441988293e-06,5.945853097789464e-05,0.0030720241005245566,9.905791260917226
2,3.31,15.989974148825162,10.084580010172674,19.673111107615345,10.873224370369208,6.512608346835723,8.971353961836744,3.8881635178572362,10.5,30674,1.3,435594,13.657442480842251,3.5487173836186914,2.69815470369197,59.13120933713504,30.827330036685535,Monterey County,CA,6053.0,3280.6,27.6,62.94465659617321,993.0,86.15307150050354,4.146451802290822,9445.84390735146,3.695871097683787,929.0,186000,0,1,1,3,4,4,6,14,42,79,154,169,279,51,53,132.77875998292996,1.3774294411768757e-05,0.00018136154308828864,0.0021327199180888627,3.714697631280501
3,2.37,1.3391753735535334,16.36894730929109,20.669587686776765,11.533535557802491,3.509718009212448,10.598809122570495,6.790248286709359,5.1,37645,0.1,99696,27.83060503931953,0.8275156475686086,0.5356283100625903,9.67340715775959,5.053362221152303,Nevada County,CA,6057.0,957.77,21.5,46.237923076923074,429.0,86.13053613053611,4.4691905128205125,1140.6666666666667,4.631701631701632,197.0,0,0,0,0,1,1,1,1,2,26,34,36,37,41,44,53,104.09179656911367,1.0030492697801315e-05,0.00034103675172524473,0.001976007061466859,1.227732306210882
4,2.59,1.0667776996080345,9.394248302201037,25.46195925282488,11.484730577610593,4.417866731754943,12.854455914657786,5.007968527904206,9.5,28144,0.8,180040,20.565985336591872,1.997333925794268,1.1552988224838925,10.308820262163964,6.531326371917353,Shasta County,CA,6089.0,3775.4,23.3,73.23799052132702,1055.0,84.37914691943129,4.556216417061611,23127.325118483408,3.769668246445498,339.0,0,0,0,1,3,3,4,4,2,7,24,28,30,32,38,53,47.68766223446522,2.2217285047767163e-05,0.00013330371028660298,0.001882914907798267,0.8264830037769144
5,2.93,4.814026215982434,11.537693792002127,21.391975514006255,12.532437287910039,3.8592055359638033,11.97351786546011,5.1799853616341744,10.8,22994,0.2,78041,12.023167309491164,6.076293230481412,2.731897336015684,28.738739893133094,13.638984636280927,Yuba County,CA,6115.0,631.84,34.4,79.333,86.0,90.4651162790698,3.6288,0.0,2.0,366.0,0,0,0,0,1,1,1,1,3,7,15,16,16,21,35,53,123.51386426943529,1.2813777373431915e-05,0.0001922066606014787,0.004689842518676081,3.0086749272818167
6,2.73,1.1027654126871145,17.043462555908505,19.34620247112943,8.619205966407089,5.899476239548696,9.459559956229349,3.5239623062458167,1.3,53900,1.9,342776,11.646673045954213,1.875860620346816,1.5111909818657083,8.97466567087544,7.032581044180455,Douglas County,CO,8035.0,840.25,19.1,73.03027889060091,649.0,79.07550077041603,3.7519751771956855,7243.758089368259,3.1571648690292764,337.0,0,0,0,0,10,18,19,29,48,141,282,399,425,604,54,46,407.9452543885748,8.460335612761687e-05,0.0008226947044133778,0.000983149345345065,0.48253086563819636
7,2.68,0.257035729214107,16.124416938571372,22.612489524130375,8.250306217727562,8.061896532721107,9.819139179856382,3.734088635735037,6.9,56135,9.5,943823,15.87416284621163,13.213706383506231,11.480754336353321,20.17708828879991,21.628101879271856,Fairfield County,CT,9001.0,624.89,20.8,54.00832399710878,5534.0,83.00505963136972,4.1070839772316585,14487.803035778823,3.2784935913167947,0.0,775000,0,7,46,220,615,689,1034,270,1986,5407,10008,10373,13312,58,49,1510.3826273424122,0.0010955443976254022,0.0057288283926117504,0.0,0.824307099954126
8,2.55,1.4012056596253488,5.490235153447589,28.012903547229968,9.052411319250696,9.3401255480271,15.795635711438825,4.9970107612594665,11.2,27508,0.8,178550,16.696723606832823,29.177261271352574,25.495379445533466,7.38896667600112,5.826939232707925,Kent County,DE,10001.0,586.18,35.2,89.1811855921856,819.0,77.04517704517706,5.592636697096545,32074.94749694749,3.5555555555555562,0.0,0,0,0,3,4,15,18,39,6,41,255,539,579,1044,48,48,304.5992698488519,0.00021842621114533743,0.001428171380565668,0.0,1.9781573788854843
9,2.63,0.8269491985873404,11.287150230915511,25.036674816625915,8.49986416734583,8.669383319750066,11.08466902109934,5.806030969845152,7.6,35859,3.3,559335,15.57081176754539,27.353374989943408,25.915417415323557,10.27666782876094,11.497045598791425,New Castle County,DE,10003.0,426.29,28.3,99.09678505704821,2717.0,87.36474052263523,4.254753743824631,17538.16304747884,3.7263250438739632,0.0,13345000,1914800,0,5,19,40,52,95,44,226,807,1389,1504,2390,55,48,1312.0997443055196,0.00016984454754306454,0.0014427847354447692,0.0,1.5225222809228711
