,household_size,empl_agriculture,empl_professional,empl_social,empl_services,empl_manufacturing,empl_retail,employed,prc_fam_poverty,avg_income,prc_public_transp,population,pop_65_plus,health_ins,county,state,FIPS,area,domestic_passengers,intl_passengers,order started
"Morgan County, Alabama: Summary level: 050, state:01> county:103",2.56,580,6009,10431,4473,11938,5507,53742,9.9,45851,0.4,119089,20464,117677,Morgan County,Alabama,01103,579.34,0.0,0.0,04/04/20
"Kings County, California: Summary level: 050, state:06> county:031",3.15,7797,3901,11372,4707,3752,4899,52644,15.6,43727,0.5,151366,15413,136372,Kings County,California,06031,1389.42,0.0,0.0,03/19/20
"Monterey County, California: Summary level: 050, state:06> county:053",3.31,30494,19232,37518,20736,12420,17109,190707,10.5,126299,1.3,435594,59491,419413,Monterey County,California,06053,3280.6,186000.00000000003,0.0,03/19/20
"Nevada County, California: Summary level: 050, state:06> county:057",2.37,596,7285,9199,5133,1562,4717,44505,5.1,41447,0.1,99696,27746,98472,Nevada County,California,06057,957.77,0.0,0.0,03/19/20
"Shasta County, California: Summary level: 050, state:06> county:089",2.59,743,6543,17734,7999,3077,8953,69649,9.5,68198,0.8,180040,37027,178552,Shasta County,California,06089,3775.4,0.0,0.0,03/19/20
"Yuba County, California: Summary level: 050, state:06> county:115",2.93,1447,3468,6430,3767,1160,3599,30058,10.8,26191,0.2,78041,9383,75693,Yuba County,California,06115,631.84,0.0,0.0,03/19/20
"Douglas County, Colorado: Summary level: 050, state:08> county:035",2.73,2076,32085,36420,16226,11106,17808,188254,1.3,125035,1.9,342776,39922,341122,Douglas County,Colorado,08035,840.25,2441000.0,0.0,03/26/20
"Fairfield County, Connecticut: Summary level: 050, state:09> county:001",2.68,1236,77537,108736,39673,38767,47217,480867,6.9,345634,9.5,943823,149824,936043,Fairfield County,Connecticut,09001,624.89,0.0,0.0,03/23/20
"Kent County, Delaware: Summary level: 050, state:10> county:001",2.55,1125,4408,22491,7268,7499,12682,80288,11.2,67841,0.8,178550,29812,175018,Kent County,Delaware,10001,586.18,0.0,0.0,03/24/20
"New Castle County, Delaware: Summary level: 050, state:10> county:003",2.63,2283,31161,69120,23466,23934,30602,276075,7.6,206351,3.3,559335,87093,550819,New Castle County,Delaware,10003,426.29,0.0,0.0,03/24/20
