,household_size,empl_agriculture,empl_professional,empl_social,empl_services,empl_manufacturing,empl_retail,prc_fam_poverty,avg_income,prc_public_transp,population,pop_65_plus,health_ins,county,state,area,domestic_passengers,intl_passengers,deaths,cases_march1,cases_march15,cases_april1,ten_plus,order,density,death_prc
0,2.56,1.0792303970823565,11.181199062186,19.409400468907002,8.32309925198169,22.213538759257197,10.24710654609058,9.9,27742.0,0.4,119089,17.183786915668115,98.81433213814877,Morgan County,AL,579.34,580000,0,0,0,0,19,19,17,205.55977491628403,0.0
1,3.15,14.810804650102575,7.410151204315783,21.601701998328394,8.941189879188512,7.127118000151963,9.305903806701616,15.6,22628.0,0.5,151366,10.182603755136556,90.09420873908277,Kings County,CA,1389.42,0,0,1,0,0,4,4,33,108.94186063249413,6.606503441988293e-06
2,3.31,15.989974148825162,10.084580010172674,19.673111107615345,10.873224370369208,6.512608346835723,8.971353961836744,10.5,30674.0,1.3,435594,13.657442480842251,96.2853023687195,Monterey County,CA,3280.6,186000,0,3,0,0,42,26,33,132.77875998292996,6.887147205884378e-06
3,2.37,1.3391753735535334,16.36894730929109,20.669587686776765,11.533535557802491,3.509718009212448,10.598809122570495,5.1,37645.0,0.1,99696,27.83060503931953,98.77226769378912,Nevada County,CA,957.77,0,0,1,0,0,26,19,33,104.09179656911367,1.0030492697801315e-05
4,2.59,1.0667776996080345,9.394248302201037,25.46195925282488,11.484730577610593,4.417866731754943,12.854455914657786,9.5,28144.0,0.8,180040,20.565985336591872,99.17351699622309,Shasta County,CA,3775.4,0,0,3,0,1,7,13,33,47.68766223446522,1.6662963785825372e-05
5,2.93,4.814026215982434,11.537693792002127,21.391975514006255,12.532437287910039,3.8592055359638033,11.97351786546011,10.8,22994.0,0.2,78041,12.023167309491164,96.99132507271818,Yuba County,CA,631.84,0,0,1,0,0,7,10,33,123.51386426943529,1.2813777373431915e-05
6,2.73,1.1027654126871145,17.043462555908505,19.34620247112943,8.619205966407089,5.899476239548696,9.459559956229349,1.3,53900.0,1.9,342776,11.646673045954213,99.5174691343618,Douglas County,CO,840.25,0,0,15,0,4,141,29,26,407.9452543885748,4.376035661773286e-05
7,2.68,0.257035729214107,16.124416938571372,22.612489524130375,8.250306217727562,8.061896532721107,9.819139179856382,6.9,56135.0,9.5,943823,15.87416284621163,99.17569290004587,Fairfield County,CT,624.89,775000,0,406,0,15,1986,33,29,1510.3826273424122,0.0004301654017755448
8,2.55,1.4012056596253488,5.490235153447589,28.012903547229968,9.052411319250696,9.3401255480271,15.795635711438825,11.2,27508.0,0.8,178550,16.696723606832823,98.02184262111452,Kent County,DE,586.18,0,0,9,0,0,41,23,28,304.5992698488519,5.04060487258471e-05
9,2.63,0.8269491985873404,11.287150230915511,25.036674816625915,8.49986416734583,8.669383319750066,11.08466902109934,7.6,35859.0,3.3,559335,15.57081176754539,98.47747771907713,New Castle County,DE,426.29,13345000,1914800,25,0,6,226,30,28,1312.0997443055196,4.469593356396435e-05
10,2.6,1.7606162156754863,10.781273445705995,16.530785775021258,15.047766718351426,6.519781923673286,8.195368378932628,9.4,36507.0,0.6,85832,21.888106999720375,98.62056109609469,Nassau County,FL,648.64,3113000,0,0,0,1,11,16,18,132.32609768130243,0.0
11,2.68,0.697895189640595,9.675601109512435,22.66490647759467,10.485485856683034,5.243484581040391,14.557159173502233,7.4,27000.0,0.4,321128,24.04274930868688,99.37376996088787,St. Lucie County,FL,571.93,0,0,9,0,0,40,21,18,561.4813001591104,2.8026207618146036e-05
12,2.72,1.98405646246414,10.193201147528498,24.292315113356523,11.038614841707076,3.5644469268069767,10.610830434892991,5.9,33684.0,0.0,179349,15.843969021293681,95.63644068269129,Santa Rosa County,FL,1011.61,972000,0,5,0,1,44,20,18,177.29065548976385,2.7878605400643438e-05
13,2.93,1.6922802456864692,9.485944389224457,16.168412467823735,6.572877641002116,11.919871549812678,15.393633560160053,6.9,25470.0,0.0,80809,12.675568315410409,99.8465517454739,Barrow County,GA,160.31,0,0,3,0,0,20,16,18,504.0795957831701,3.712457770792857e-05
14,2.94,1.1239772373375612,12.369411964553663,17.258854505818068,4.283570680331814,14.521106423940433,15.336485376971204,2.1,28965.0,0.0,70422,14.546590554088215,99.10965323336457,Jackson County,GA,339.66,0,0,1,0,0,9,14,18,207.33086027203672,1.4200107920820199e-05
15,2.68,1.2890325874244877,8.629711563005191,25.699821322215605,8.263847528290649,13.192376414532454,15.349272526163533,24.0,21313.0,0.0,116321,12.491295638792653,95.75914925078017,Lowndes County,GA,496.07,0,0,3,0,2,24,23,18,234.48505251275023,2.579069987362557e-05
