,household_size,empl_agriculture,empl_professional,empl_social,empl_services,empl_manufacturing,empl_retail,employed,prc_fam_poverty,avg_income,prc_public_transp,population,pop_65_plus,health_ins,county,state,FIPS,area,domestic_passengers,intl_passengers,order started,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,cases_march1,cases_march15,cases_april1,ten plus cases
0,2.56,1.0792303970823565,11.181199062186,19.409400468907002,8.32309925198169,22.213538759257197,10.24710654609058,53742,9.9,27742.0,0.4,119089,17.183786915668115,98.81433213814877,Morgan County,AL,1103.0,579.34,580000,0,04/04/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,19,3/28/20
1,3.15,14.810804650102575,7.410151204315783,21.601701998328394,8.941189879188512,7.127118000151963,9.305903806701616,52644,15.6,22628.0,0.5,151366,10.182603755136556,90.09420873908277,Kings County,CA,6031.0,1389.42,0,0,03/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1,1,0,0,4,4/12/20
2,3.31,15.989974148825162,10.084580010172674,19.673111107615345,10.873224370369208,6.512608346835722,8.971353961836744,190707,10.5,30674.0,1.3,435594,13.657442480842251,96.2853023687195,Monterey County,CA,6053.0,3280.6,186000,0,03/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3.0,3,3,0,0,42,3/21/20
3,2.37,1.3391753735535334,16.36894730929109,20.669587686776765,11.533535557802493,3.509718009212448,10.598809122570495,44505,5.1,37645.0,0.1,99696,27.83060503931953,98.77226769378912,Nevada County,CA,6057.0,957.77,0,0,03/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1.0,1,1,0,0,26,3/28/20
4,2.59,1.0667776996080345,9.394248302201037,25.46195925282488,11.484730577610591,4.417866731754943,12.854455914657786,69649,9.5,28144.0,0.8,180040,20.565985336591872,99.17351699622309,Shasta County,CA,6089.0,3775.4,0,0,03/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3.0,3,3,0,1,7,4/3/20
5,2.93,4.814026215982434,11.537693792002127,21.391975514006255,12.532437287910039,3.8592055359638033,11.97351786546011,30058,10.8,22994.0,0.2,78041,12.023167309491164,96.99132507271818,Yuba County,CA,6115.0,631.84,0,0,03/19/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,1,1,0,0,7,4/6/20
6,2.73,1.1027654126871145,17.043462555908505,19.34620247112943,8.619205966407089,5.8994762395486955,9.459559956229349,188254,1.3,53900.0,1.9,342776,11.646673045954211,99.5174691343618,Douglas County,CO,8035.0,840.25,0,0,03/26/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,8,8,8,10,10,11,12.0,12,15,0,4,141,3/18/20
7,2.68,0.257035729214107,16.124416938571372,22.612489524130375,8.250306217727562,8.061896532721107,9.819139179856382,480867,6.9,56135.0,9.5,943823,15.87416284621163,99.17569290004587,Fairfield County,CT,9001.0,624.89,775000,0,03/23/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,5,6,7,12,13,15,20,21,21,38,46,65,75,86,96,101,132,132,178,203,220,248,262,287.0,365,406,0,15,1986,3/14/20
8,2.55,1.4012056596253488,5.490235153447589,28.012903547229968,9.052411319250696,9.3401255480271,15.795635711438823,80288,11.2,27508.0,0.8,178550,16.696723606832823,98.02184262111452,Kent County,DE,10001.0,586.18,0,0,03/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,2,2,2,2,3,4,4,4,4,4,4,6,7.0,7,9,0,0,41,3/24/20
9,2.63,0.8269491985873404,11.287150230915511,25.036674816625915,8.49986416734583,8.669383319750066,11.08466902109934,276075,7.6,35859.0,3.3,559335,15.57081176754539,98.47747771907713,New Castle County,DE,10003.0,426.29,13345000,1914800,03/24/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,7,7,7,7,9,9,9,9,9,19,19,20,20.0,20,25,0,6,226,3/17/20
