,household_size,empl_agriculture,empl_professional,empl_social,empl_services,empl_manufacturing,empl_retail,empl_transp_utilities,employed,prc_fam_poverty,avg_income,prc_public_transp,population,pop_65_plus,health_ins,county,state,FIPS,area,prc_obese,incarcerated,domestic_passengers,intl_passengers,order started
"Morgan County, Alabama: Summary level: 050, state:01> county:103",2.56,1.0792303970823565,11.181199062186,19.409400468907002,8.32309925198169,22.213538759257194,10.247106546090581,3039,53742,9.9,27742,0.4,119089,17.183786915668115,98.81433213814877,Morgan County,AL,01103,579.34,32.1,604.0,580000,0,04/04/20
"Kings County, California: Summary level: 050, state:06> county:031",3.15,14.810804650102577,7.410151204315782,21.601701998328394,8.941189879188512,7.127118000151963,9.305903806701618,2329,52644,15.6,22628,0.5,151366,10.182603755136556,90.09420873908275,Kings County,CA,06031,1389.42,29.4,465.0,0,0,03/19/20
"Monterey County, California: Summary level: 050, state:06> county:053",3.31,15.989974148825162,10.084580010172674,19.673111107615345,10.873224370369206,6.512608346835721,8.971353961836744,7415,190707,10.5,30674,1.3,435594,13.657442480842253,96.2853023687195,Monterey County,CA,06053,3280.6,27.6,929.0,186000,0,03/19/20
"Nevada County, California: Summary level: 050, state:06> county:057",2.37,1.3391753735535334,16.36894730929109,20.669587686776765,11.533535557802495,3.509718009212448,10.598809122570497,3022,44505,5.1,37645,0.1,99696,27.830605039319533,98.77226769378912,Nevada County,CA,06057,957.77,21.5,197.0,0,0,03/19/20
"Shasta County, California: Summary level: 050, state:06> county:089",2.59,1.0667776996080345,9.394248302201037,25.46195925282488,11.48473057761059,4.417866731754943,12.854455914657784,3488,69649,9.5,28144,0.8,180040,20.56598533659187,99.17351699622307,Shasta County,CA,06089,3775.4,23.3,339.0,0,0,03/19/20
"Yuba County, California: Summary level: 050, state:06> county:115",2.93,4.814026215982434,11.537693792002129,21.391975514006255,12.532437287910039,3.8592055359638033,11.97351786546011,1557,30058,10.8,22994,0.2,78041,12.023167309491164,96.99132507271818,Yuba County,CA,06115,631.84,34.4,366.0,0,0,03/19/20
"Douglas County, Colorado: Summary level: 050, state:08> county:035",2.73,1.1027654126871143,17.043462555908505,19.34620247112943,8.619205966407089,5.899476239548695,9.459559956229349,6634,188254,1.3,53900,1.9,342776,11.64667304595421,99.5174691343618,Douglas County,CO,08035,840.25,19.1,337.0,0,0,03/26/20
"Fairfield County, Connecticut: Summary level: 050, state:09> county:001",2.68,0.257035729214107,16.124416938571372,22.61248952413037,8.250306217727562,8.061896532721107,9.819139179856384,17956,480867,6.9,56135,9.5,943823,15.87416284621163,99.17569290004587,Fairfield County,CT,09001,624.89,20.8,0.0,775000,0,03/23/20
"Kent County, Delaware: Summary level: 050, state:10> county:001",2.55,1.4012056596253488,5.490235153447589,28.01290354722997,9.052411319250698,9.340125548027101,15.795635711438822,4012,80288,11.2,27508,0.8,178550,16.69672360683282,98.02184262111453,Kent County,DE,10001,586.18,35.2,0.0,0,0,03/24/20
"New Castle County, Delaware: Summary level: 050, state:10> county:003",2.63,0.8269491985873404,11.287150230915511,25.036674816625915,8.49986416734583,8.669383319750068,11.084669021099339,16029,276075,7.6,35859,3.3,559335,15.57081176754539,98.47747771907713,New Castle County,DE,10003,426.29,28.3,0.0,13345000,1914800,03/24/20
"Nassau County, Florida: Summary level: 050, state:12> county:089",2.6,1.7606162156754863,10.781273445705997,16.530785775021258,15.047766718351424,6.519781923673286,8.195368378932628,2814,39986,9.4,36507,0.6,85832,21.88810699972038,98.62056109609469,Nassau County,FL,12089,648.64,28.0,260.0,3113000,0,04/03/20
"St. Lucie County, Florida: Summary level: 050, state:12> county:111",2.68,0.697895189640595,9.675601109512437,22.66490647759467,10.485485856683033,5.2434845810403905,14.557159173502232,7299,134834,7.4,27000,0.4,321128,24.04274930868688,99.37376996088787,St. Lucie County,FL,12111,571.93,29.9,1272.0,0,0,04/03/20
"Santa Rosa County, Florida: Summary level: 050, state:12> county:113",2.72,1.9840564624641395,10.193201147528498,24.292315113356523,11.038614841707076,3.5644469268069767,10.61083043489299,4306,78778,5.9,33684,0.0,179349,15.843969021293681,95.63644068269129,Santa Rosa County,FL,12113,1011.61,29.9,660.0,972000,0,04/03/20
"Barrow County, Georgia: Summary level: 050, state:13> county:013",2.93,1.6922802456864692,9.485944389224457,16.168412467823735,6.5728776410021155,11.919871549812678,15.393633560160053,2138,39237,6.9,25470,0.0,80809,12.675568315410413,99.8465517454739,Barrow County,GA,13013,160.31,38.3,323.0,0,0,04/03/20
"Jackson County, Georgia: Summary level: 050, state:13> county:157",2.94,1.1239772373375612,12.369411964553665,17.258854505818068,4.283570680331814,14.521106423940433,15.336485376971206,1792,35321,2.1,28965,0.0,70422,14.546590554088212,99.10965323336457,Jackson County,GA,13157,339.66,29.0,264.0,0,0,04/03/20
