,household_size,empl_agriculture,empl_professional,empl_social,empl_services,empl_manufacturing,empl_retail,empl_transp_utilities,employed,prc_fam_poverty,avg_income,prc_public_transp,population,pop_65_plus,health_ins,aa_and_mixed,aa,latino,immigrant,county,state,FIPS,area,prc_obese,nh_weighted_health_score,nh_num_beds,nh_prc_occupied,nh_nurse_hours,nh_total_fines,nh_overall_rating,incarcerated,domestic_passengers,intl_passengers,order started
"Morgan County, Alabama: Summary level: 050, state:01> county:103",2.56,1.0792303970823565,11.181199062186,19.409400468907002,8.32309925198169,22.213538759257194,10.247106546090581,5.65479513229876,53742,9.9,27742,0.4,119089,17.183786915668115,98.81433213814877,14.94176624205426,14.36488676536036,8.453341618453425,4.053271082971559,Morgan County,AL,01103,579.34,32.1,22.78254416403786,634.0,93.64353312302839,3.775967397476341,11365.91640378549,3.05205047318612,604.0,580000,0,04/04/20
"Kings County, California: Summary level: 050, state:06> county:031",3.15,14.810804650102577,7.410151204315782,21.601701998328394,8.941189879188512,7.127118000151963,9.305903806701618,4.424055922802219,52644,15.6,22628,0.5,151366,10.182603755136556,90.09420873908275,8.175548009460513,6.889261789305393,54.9661086373426,16.684063792397236,Kings County,CA,06031,1389.42,29.4,65.99777064220183,327.0,77.88990825688074,4.167288593272171,0.0,3.379204892966361,465.0,0,0,03/19/20
"Monterey County, California: Summary level: 050, state:06> county:053",3.31,15.989974148825162,10.084580010172674,19.673111107615345,10.873224370369206,6.512608346835721,8.971353961836744,3.8881635178572362,190707,10.5,30674,1.3,435594,13.657442480842253,96.2853023687195,3.548717383618691,2.69815470369197,59.13120933713504,30.827330036685535,Monterey County,CA,06053,3280.6,27.6,62.94465659617321,993.0,86.15307150050353,4.146451802290822,9445.84390735146,3.695871097683787,929.0,186000,0,03/19/20
"Nevada County, California: Summary level: 050, state:06> county:057",2.37,1.3391753735535334,16.36894730929109,20.669587686776765,11.533535557802495,3.509718009212448,10.598809122570497,6.790248286709359,44505,5.1,37645,0.1,99696,27.830605039319533,98.77226769378912,0.8275156475686086,0.5356283100625903,9.67340715775959,5.053362221152303,Nevada County,CA,06057,957.77,21.5,46.23792307692308,429.0,86.13053613053611,4.469190512820513,1140.6666666666667,4.631701631701632,197.0,0,0,03/19/20
"Shasta County, California: Summary level: 050, state:06> county:089",2.59,1.0667776996080345,9.394248302201037,25.46195925282488,11.48473057761059,4.417866731754943,12.854455914657784,5.007968527904206,69649,9.5,28144,0.8,180040,20.56598533659187,99.17351699622307,1.9973339257942682,1.1552988224838925,10.308820262163962,6.531326371917352,Shasta County,CA,06089,3775.4,23.3,73.23799052132702,1055.0,84.37914691943128,4.556216417061611,23127.32511848341,3.769668246445498,339.0,0,0,03/19/20
"Yuba County, California: Summary level: 050, state:06> county:115",2.93,4.814026215982434,11.537693792002129,21.391975514006255,12.532437287910039,3.8592055359638033,11.97351786546011,5.1799853616341744,30058,10.8,22994,0.2,78041,12.023167309491164,96.99132507271818,6.076293230481414,2.731897336015684,28.738739893133097,13.638984636280929,Yuba County,CA,06115,631.84,34.4,79.333,86.0,90.46511627906978,3.6288,0.0,2.0,366.0,0,0,03/19/20
"Douglas County, Colorado: Summary level: 050, state:08> county:035",2.73,1.1027654126871143,17.043462555908505,19.34620247112943,8.619205966407089,5.899476239548695,9.459559956229349,3.5239623062458167,188254,1.3,53900,1.9,342776,11.64667304595421,99.5174691343618,1.8758606203468153,1.5111909818657083,8.97466567087544,7.032581044180455,Douglas County,CO,08035,840.25,19.1,73.03027889060091,649.0,79.07550077041603,3.7519751771956855,7243.758089368259,3.1571648690292764,337.0,0,0,03/26/20
"Fairfield County, Connecticut: Summary level: 050, state:09> county:001",2.68,0.257035729214107,16.124416938571372,22.61248952413037,8.250306217727562,8.061896532721107,9.819139179856384,3.734088635735037,480867,6.9,56135,9.5,943823,15.87416284621163,99.17569290004587,13.21370638350623,11.48075433635332,20.17708828879991,21.628101879271856,Fairfield County,CT,09001,624.89,20.8,54.00832399710878,5534.0,83.00505963136972,4.107083977231658,14487.803035778823,3.278493591316795,0.0,775000,0,03/23/20
"Kent County, Delaware: Summary level: 050, state:10> county:001",2.55,1.4012056596253488,5.490235153447589,28.01290354722997,9.052411319250698,9.340125548027101,15.795635711438822,4.9970107612594665,80288,11.2,27508,0.8,178550,16.69672360683282,98.02184262111453,29.177261271352563,25.495379445533462,7.38896667600112,5.826939232707925,Kent County,DE,10001,586.18,35.2,89.18118559218559,819.0,77.04517704517704,5.592636697096545,32074.947496947498,3.5555555555555554,0.0,0,0,03/24/20
"New Castle County, Delaware: Summary level: 050, state:10> county:003",2.63,0.8269491985873404,11.287150230915511,25.036674816625915,8.49986416734583,8.669383319750068,11.084669021099339,5.806030969845151,276075,7.6,35859,3.3,559335,15.57081176754539,98.47747771907713,27.35337498994341,25.915417415323557,10.276667828760939,11.497045598791422,New Castle County,DE,10003,426.29,28.3,99.09678505704821,2717.0,87.36474052263523,4.254753743824632,17538.16304747884,3.7263250438739632,0.0,13345000,1914800,03/24/20
"Nassau County, Florida: Summary level: 050, state:12> county:089",2.6,1.7606162156754863,10.781273445705997,16.530785775021258,15.047766718351424,6.519781923673286,8.195368378932628,7.037463112089232,39986,9.4,36507,0.6,85832,21.88810699972038,98.62056109609469,6.949622518408052,5.838148942119489,4.4796812377668,4.565896169260881,Nassau County,FL,12089,648.64,28.0,18.666999999999998,240.0,91.66666666666666,3.52809,811.5,4.0,260.0,3113000,0,04/03/20
"St. Lucie County, Florida: Summary level: 050, state:12> county:111",2.68,0.697895189640595,9.675601109512437,22.66490647759467,10.485485856683033,5.2434845810403905,14.557159173502232,5.413323049082576,134834,7.4,27000,0.4,321128,24.04274930868688,99.37376996088787,21.929884656585536,20.2019132557734,19.54859121596373,16.376335915896465,St. Lucie County,FL,12111,571.93,29.9,68.97730571428572,1050.0,85.49523809523808,4.203843971428571,15606.251428571428,2.7952380952380946,1272.0,0,0,04/03/20
"Santa Rosa County, Florida: Summary level: 050, state:12> county:113",2.72,1.9840564624641395,10.193201147528498,24.292315113356523,11.038614841707076,3.5644469268069767,10.61083043489299,5.465993043743176,78778,5.9,33684,0.0,179349,15.843969021293681,95.63644068269129,7.653792326692649,6.042408934535459,5.701174804431583,4.757205225565796,Santa Rosa County,FL,12113,1011.61,29.9,29.77221951219512,410.0,88.82926829268291,4.619283414634147,31010.80487804878,3.707317073170732,660.0,972000,0,04/03/20
"Barrow County, Georgia: Summary level: 050, state:13> county:013",2.93,1.6922802456864692,9.485944389224457,16.168412467823735,6.5728776410021155,11.919871549812678,15.393633560160053,5.448938501924204,39237,6.9,25470,0.0,80809,12.675568315410413,99.8465517454739,13.708869061614424,12.29689762278954,11.529656350159016,8.808424804167853,Barrow County,GA,13013,160.31,38.3,22.0,163.0,78.40490797546012,3.1139900000000003,0.0,4.0,323.0,0,0,04/03/20
