state,date order started (MM/DD/YY)
AL,04/04/20
AK,03/28/20
AZ,03/31/20
CA,03/19/20
CO,03/26/20
CT,03/23/20
DE,03/24/20
DC,04/01/20
FL,04/03/20
GA,04/03/20
HI,03/25/20
ID,03/25/20
IL,03/21/20
IN,03/24/20
KS,03/30/20
KY,03/26/20
LA,03/23/20
ME,04/02/20
MD,03/30/20
MA,03/24/20
MI,03/24/20
MN,03/27/20
MS,03/27/20
MO,04/06/20
MT,03/28/20
NV,04/01/20
NH,03/27/20
NJ,03/21/20
NM,03/24/20
NY,03/22/20
NC,03/30/20
OH,03/23/20
OR,03/23/20
PA,04/01/20
PR,03/15/20
RI,03/28/20
SC,04/07/20
TN,03/31/20
TX,04/02/20
VT,03/25/20
VA,03/30/20
WA,03/23/20
WV,03/24/20
WI,03/25/20
WY,03/25/20
